cid_value,country_value,region_value,rating_value
"3715278914","India","Asia Pacific","AdWords Business Global Winner"
"8150992559","United States","Americas","AdWords Business Regional Winner Americas"
"5053993634","India","Asia Pacific","AdWords Business Regional Winner Asia Pacific"
"2172973789","Germany","Europe","AdWords Business Regional Winner Europe"
"2867969089","Turkey","Middle East and Africa","AdWords Business Regional Winner Middle East and Africa"
"----------------","----------------","----------------","----------------"
"5770664389","Lithuania","Europe","Google+ Social Media Marketing Global Winner"
"7022164718","Canada","Americas","Google+ Social Media Marketing Regional Winner Americas"
"5279343661","India","Asia Pacific","Google+ Social Media Marketing Regional Winner Asia and Pacific"
"2177142438","France","Europe","Google+ Social Media Marketing Regional Winner Europe"
"4923669483","Nigeria","Middle East and Africa","Google+ Social Media Marketing Regional Winner Middle East and Africa"
"----------------","----------------","----------------","----------------"
"7022164718","Canada","Americas","AdWords Social Impact Award 1st Place Winner"
"8150992559","United States","Americas","AdWords Social Impact Award 2nd Place Winner"
"8616364210","United States","Americas","AdWords Social Impact Award 3rd Place Winner"
"----------------","----------------","----------------","----------------"
"5980232567","France","Europe","AdWords Business Finalist"
"8013970957","Canada","Americas","AdWords Business Finalist"
"3606992422","Spain","Europe","AdWords Business Finalist"
"1463469553","France","Europe","AdWords Business Finalist"
"5919928081","France","Europe","AdWords Business Finalist"
"7790545430","Canada","Americas","AdWords Business Finalist"
"4010790461","Canada","Americas","AdWords Business Finalist"
"2710198822","Canada","Americas","AdWords Business Finalist"
"7105428918","Nigeria","Middle East and Africa","AdWords Business Finalist"
"9572905279","Nigeria","Middle East and Africa","AdWords Business Finalist"
"5279343661","India","Asia Pacific","AdWords Business Finalist"
"7612317767","Nigeria","Middle East and Africa","AdWords Business Finalist"
"7916916551","India","Asia Pacific","AdWords Business Finalist"
"2531143669","Nigeria","Middle East and Africa","AdWords Business Finalist"
"9643944408","India","Asia Pacific","AdWords Business Finalist"
"4804102677","Germany","Europe","AdWords Business Semi-Finalist"
"3581101981","Bulgaria","Europe","AdWords Business Semi-Finalist"
"2172352463","France","Europe","AdWords Business Semi-Finalist"
"2617721606","Netherlands","Europe","AdWords Business Semi-Finalist"
"2086010008","Germany","Europe","AdWords Business Semi-Finalist"
"4374463373","United States","Americas","AdWords Business Semi-Finalist"
"1828073032","Poland","Europe","AdWords Business Semi-Finalist"
"7003535361","Poland","Europe","AdWords Business Semi-Finalist"
"7022164718","Canada","Americas","AdWords Business Semi-Finalist"
"9486397324","Austria","Europe","AdWords Business Semi-Finalist"
"1645416655","United States","Americas","AdWords Business Semi-Finalist"
"2142489134","Italy","Europe","AdWords Business Semi-Finalist"
"2880262251","United States","Americas","AdWords Business Semi-Finalist"
"6965637359","France","Europe","AdWords Business Semi-Finalist"
"8616364210","United States","Americas","AdWords Business Semi-Finalist"
"6714778953","Canada","Americas","AdWords Business Semi-Finalist"
"8600787577","United States","Americas","AdWords Business Semi-Finalist"
"1979429563","Canada","Americas","AdWords Business Semi-Finalist"
"3993455771","United States","Americas","AdWords Business Semi-Finalist"
"1338410118","United States","Americas","AdWords Business Semi-Finalist"
"3881368512","Egypt","Middle East and Africa","AdWords Business Semi-Finalist"
"8069125155","Philippines","Asia Pacific","AdWords Business Semi-Finalist"
"1977773640","India","Asia Pacific","AdWords Business Semi-Finalist"
"1664281489","India","Asia Pacific","AdWords Business Semi-Finalist"
"3007498687","Nigeria","Middle East and Africa","AdWords Business Semi-Finalist"
"6412470655","India","Asia Pacific","AdWords Business Semi-Finalist"
"2985473322","India","Asia Pacific","AdWords Business Semi-Finalist"
"2246831108","New Zealand","Asia Pacific","AdWords Business Semi-Finalist"
"4923669483","Nigeria","Middle East and Africa","AdWords Business Semi-Finalist"
"7359447855","India","Asia Pacific","AdWords Business Semi-Finalist"
"7818871051","Australia","Asia Pacific","AdWords Business Semi-Finalist"
"7246958671","India","Asia Pacific","AdWords Business Semi-Finalist"
"7950983520","Australia","Asia Pacific","AdWords Business Semi-Finalist"
"1615550487","Uganda","Middle East and Africa","AdWords Business Semi-Finalist"
"4119182869","Nigeria","Middle East and Africa","AdWords Business Semi-Finalist"
"5238527226","Nigeria","Middle East and Africa","AdWords Business Semi-Finalist"
"2423098332","Nigeria","Middle East and Africa","AdWords Business Semi-Finalist"
"7071830069","Nigeria","Middle East and Africa","AdWords Business Semi-Finalist"
"2666984089","Kenya","Middle East and Africa","AdWords Business Semi-Finalist"
"4064865616","Cameroon","Middle East and Africa","AdWords Business Semi-Finalist"
"1979429563","Canada","Americas","Google+ Social Media Marketing Finalist"
"3966936440","Canada","Americas","Google+ Social Media Marketing Finalist"
"6803975532","India","Asia Pacific","Google+ Social Media Marketing Finalist"
"9060757387","India","Asia Pacific","Google+ Social Media Marketing Finalist"
"5255966889","Nigeria","Middle East and Africa","Google+ Social Media Marketing Finalist"
"8589311502","Czech Republic","Europe","Google+ Social Media Marketing Finalist"
"5357139820","Ghana","Middle East and Africa","Google+ Social Media Marketing Finalist"
"5980232567","France","Europe","AdWords Social Impact Finalist"
"2710198822","Canada","Americas","AdWords Social Impact Finalist"
"2880262251","United States","Americas","AdWords Social Impact Finalist"
"1979429563","Canada","Americas","AdWords Social Impact Finalist"
"3993455771","United States","Americas","AdWords Social Impact Finalist"
"6498320402","United States","Americas","AdWords Social Impact Finalist"
"4614884083","United States","Americas","AdWords Social Impact Finalist"
"3186990751","Germany","Europe","Strong"
"1155522989","Finland","Europe","Strong"
"9780899810","Poland","Europe","Strong"
"8289591585","Spain","Europe","Strong"
"5036246616","France","Europe","Strong"
"7778534087","Spain","Europe","Strong"
"9334375969","Canada","Americas","Strong"
"6425666014","Poland","Europe","Strong"
"4284665326","France","Europe","Strong"
"9109609438","Germany","Europe","Strong"
"8592111720","Croatia","Europe","Strong"
"6887583969","Canada","Americas","Strong"
"9592415079","France","Europe","Strong"
"1367362738","Germany","Europe","Strong"
"1701857951","France","Europe","Strong"
"4505510989","Poland","Europe","Strong"
"5456272875","France","Europe","Strong"
"4711062771","France","Europe","Strong"
"4956263053","United States","Americas","Strong"
"2586617516","United States","Americas","Strong"
"5589140961","France","Europe","Strong"
"5360012859","United States","Americas","Strong"
"7515204730","Canada","Americas","Strong"
"3305928667","France","Europe","Strong"
"4498299071","Ireland","Europe","Strong"
"4091084218","Spain","Europe","Strong"
"6848927516","United States","Americas","Strong"
"3828594640","United States","Americas","Strong"
"4392244434","Germany","Europe","Strong"
"7556439161","United States","Americas","Strong"
"6603344224","Greece","Europe","Strong"
"4209126553","Poland","Europe","Strong"
"5059144865","Canada","Americas","Strong"
"4724982538","Canada","Americas","Strong"
"3245983551","Netherlands","Europe","Strong"
"5154058204","France","Europe","Strong"
"3365114389","Netherlands","Europe","Strong"
"1887583128","France","Europe","Strong"
"1106662426","United States","Americas","Strong"
"1154323840","United States","Americas","Strong"
"9323726436","United States","Americas","Strong"
"9498659277","Greece","Europe","Strong"
"6405199163","Colombia","Americas","Strong"
"2510367577","Netherlands","Europe","Strong"
"3002929061","Hungary","Europe","Strong"
"7500432885","France","Europe","Strong"
"5758052526","Germany","Europe","Strong"
"8996296551","Finland","Europe","Strong"
"9509296516","France","Europe","Strong"
"8142742267","United States","Americas","Strong"
"3439509810","Czech Republic","Europe","Strong"
"4236870569","Ireland","Europe","Strong"
"4196540226","United States","Americas","Strong"
"5405674118","United States","Americas","Strong"
"7136067722","Canada","Americas","Strong"
"4485308928","Spain","Europe","Strong"
"6128643238","Ireland","Europe","Strong"
"9625630918","Poland","Europe","Strong"
"4499577657","France","Europe","Strong"
"5846575769","United States","Americas","Strong"
"4733674471","Canada","Americas","Strong"
"3461798079","United States","Americas","Strong"
"2576500412","United States","Americas","Strong"
"9030417426","Canada","Americas","Strong"
"1640132081","United States","Americas","Strong"
"2649106567","France","Europe","Strong"
"4477785883","United States","Americas","Strong"
"8397557485","Canada","Americas","Strong"
"2853647402","France","Europe","Strong"
"8389093465","Czech Republic","Europe","Strong"
"8115716038","United States","Americas","Strong"
"8692353136","United States","Americas","Strong"
"1229260202","United States","Americas","Strong"
"3716553718","United States","Americas","Strong"
"5329098857","Canada","Americas","Strong"
"7899403124","United States","Americas","Strong"
"7483941761","Canada","Americas","Strong"
"1416644136","Czech Republic","Europe","Strong"
"9305700438","United States","Americas","Strong"
"3756487814","Switzerland","Europe","Strong"
"9474337753","United States","Americas","Strong"
"3238608977","United Kingdom","Europe","Strong"
"7019433534","Czech Republic","Europe","Strong"
"7581633569","United States","Americas","Strong"
"3724238481","France","Europe","Strong"
"4570596928","France","Europe","Strong"
"3648205104","France","Europe","Strong"
"7537179971","United States","Americas","Strong"
"9682700161","France","Europe","Strong"
"3380083881","France","Europe","Strong"
"7831254053","Spain","Europe","Strong"
"3900113240","United States","Americas","Strong"
"5858638179","Finland","Europe","Strong"
"6487948906","United States","Americas","Strong"
"1466427702","Spain","Europe","Strong"
"2956641751","Germany","Europe","Strong"
"5943180022","Canada","Americas","Strong"
"5886072006","United Kingdom","Europe","Strong"
"5186434259","Netherlands","Europe","Strong"
"8431184704","United States","Americas","Strong"
"6516663210","Ireland","Europe","Strong"
"1614937673","Switzerland","Europe","Strong"
"9767484102","Spain","Europe","Strong"
"3871432979","France","Europe","Strong"
"5970828520","Greece","Europe","Strong"
"5694905267","Switzerland","Europe","Strong"
"9314842524","Greece","Europe","Strong"
"5988513120","United States","Americas","Strong"
"8746773471","Germany","Europe","Strong"
"8798208230","Greece","Europe","Strong"
"4760265675","Croatia","Europe","Strong"
"7562111475","Canada","Americas","Strong"
"5380705732","Poland","Europe","Strong"
"1672257526","Switzerland","Europe","Strong"
"4832245779","Germany","Europe","Strong"
"1215045379","United States","Americas","Strong"
"4409099653","Spain","Europe","Strong"
"4070942689","Canada","Americas","Strong"
"5791159610","Switzerland","Europe","Strong"
"9428989522","United States","Americas","Strong"
"5591500481","Australia","Asia Pacific","Strong"
"6136148316","France","Europe","Strong"
"8919165216","Spain","Europe","Strong"
"3958440263","Italy","Europe","Strong"
"1785788871","Austria","Europe","Strong"
"2652251022","Netherlands","Europe","Strong"
"1582704416","Poland","Europe","Strong"
"5068117669","India","Asia Pacific","Strong"
"8393087159","France","Europe","Strong"
"9654520177","India","Asia Pacific","Strong"
"8670593514","United States","Americas","Strong"
"4638849081","France","Europe","Strong"
"1943452279","United States","Americas","Strong"
"3585779414","India","Asia Pacific","Strong"
"9826299108","Germany","Europe","Strong"
"6000288038","United States","Americas","Strong"
"4637278273","United States","Americas","Strong"
"8105161075","Canada","Americas","Strong"
"2277378181","Canada","Americas","Strong"
"5072539767","Netherlands","Europe","Strong"
"6674668959","United States","Americas","Strong"
"9967869530","United States","Americas","Strong"
"1025202620","Philippines","Asia Pacific","Strong"
"8217834669","Netherlands","Europe","Strong"
"1185540467","Hungary","Europe","Strong"
"7431162216","Switzerland","Europe","Strong"
"2575264381","Austria","Europe","Strong"
"7112473440","Croatia","Europe","Strong"
"8014317085","United States","Americas","Strong"
"1926354014","Slovakia","Europe","Strong"
"2700399471","India","Asia Pacific","Strong"
"6771278885","United States","Americas","Strong"
"3416727885","Finland","Europe","Strong"
"7446707640","France","Europe","Strong"
"3880378361","France","Europe","Strong"
"8616805851","United States","Americas","Strong"
"5851016777","India","Asia Pacific","Strong"
"5357084971","United States","Americas","Strong"
"9194441612","Finland","Europe","Strong"
"9664401804","Netherlands","Europe","Strong"
"5426162718","Greece","Europe","Strong"
"2619322675","Germany","Europe","Strong"
"6298023871","Germany","Europe","Strong"
"7502155008","United States","Americas","Strong"
"9795819183","United States","Americas","Strong"
"3802696630","Spain","Europe","Strong"
"3173226081","Croatia","Europe","Strong"
"8706225618","New Zealand","Asia Pacific","Strong"
"3856171265","Spain","Europe","Strong"
"1833307487","United States","Americas","Strong"
"1882134002","Italy","Europe","Strong"
"6842012555","Canada","Americas","Strong"
"6239238183","Austria","Europe","Strong"
"8358147306","India","Asia Pacific","Strong"
"1542195336","Switzerland","Europe","Strong"
"4581941551","Spain","Europe","Strong"
"7754267412","Australia","Asia Pacific","Strong"
"7467352285","Canada","Americas","Strong"
"9575329108","Spain","Europe","Strong"
"4532215673","India","Asia Pacific","Strong"
"5042372865","Ireland","Europe","Strong"
"5875897214","Philippines","Asia Pacific","Strong"
"1627048316","Netherlands","Europe","Strong"
"9399909232","Czech Republic","Europe","Strong"
"1174845540","India","Asia Pacific","Strong"
"8402587667","Canada","Americas","Strong"
"5521434479","France","Europe","Strong"
"2706071785","Canada","Americas","Strong"
"1395000838","France","Europe","Strong"
"8909860469","Germany","Europe","Strong"
"6776185179","France","Europe","Strong"
"3727836871","Netherlands","Europe","Strong"
"9923582375","Switzerland","Europe","Strong"
"2463461775","India","Asia Pacific","Strong"
"8751240963","United States","Americas","Strong"
"4216626906","Australia","Asia Pacific","Strong"
"6429613371","Canada","Americas","Strong"
"5066468367","Colombia","Americas","Strong"
"1505837881","Finland","Europe","Strong"
"9514138506","France","Europe","Strong"
"8453965681","Spain","Europe","Strong"
"2668436687","United States","Americas","Strong"
"7554260269","Switzerland","Europe","Strong"
"3384676204","Armenia","Europe","Strong"
"3525981826","Austria","Europe","Strong"
"4157138559","Greece","Europe","Strong"
"6816669671","France","Europe","Strong"
"4821032608","United States","Americas","Strong"
"5503324314","United States","Americas","Strong"
"9984755010","Austria","Europe","Strong"
"7740085689","Canada","Americas","Strong"
"1730309351","Poland","Europe","Strong"
"7814390322","Italy","Europe","Strong"
"3564767840","Spain","Europe","Strong"
"4605569881","United States","Americas","Strong"
"2690194418","United Kingdom","Europe","Strong"
"9255598171","United States","Americas","Strong"
"1994923920","Netherlands","Europe","Strong"
"8970635914","Ireland","Europe","Strong"
"2267406714","United States","Americas","Strong"
"7789642285","India","Asia Pacific","Strong"
"1653939306","Austria","Europe","Strong"
"6382973312","Aruba","Americas","Strong"
"2773696934","Spain","Europe","Strong"
"4594290510","Switzerland","Europe","Strong"
"6777318128","Singapore","Asia Pacific","Strong"
"3892582626","United States","Americas","Strong"
"4575994987","Norway","Europe","Strong"
"4236508365","France","Europe","Strong"
"8141467463","Australia","Asia Pacific","Strong"
"1967052234","Canada","Americas","Strong"
"5273126624","India","Asia Pacific","Strong"
"6663337573","Austria","Europe","Strong"
"5340808518","France","Europe","Strong"
"9084471775","Serbia","Europe","Strong"
"3711501787","Indonesia","Asia Pacific","Strong"
"5500738767","Germany","Europe","Strong"
"2416436820","Australia","Asia Pacific","Strong"
"3849944773","Australia","Asia Pacific","Good"
"4044377016","United States","Americas","Good"
"4961190153","United Kingdom","Europe","Good"
"2083293957","Netherlands","Europe","Good"
"2298740608","Switzerland","Europe","Good"
"9658471316","United States","Americas","Good"
"8682834661","Austria","Europe","Good"
"2404349822","Italy","Europe","Good"
"5774241030","Netherlands","Europe","Good"
"9059102412","Romania","Europe","Good"
"8712506016","United States","Americas","Good"
"2446022112","Germany","Europe","Good"
"7834057110","Norway","Europe","Good"
"8963280255","United States","Americas","Good"
"6362860153","Austria","Europe","Good"
"2635435524","Netherlands","Europe","Good"
"8356490440","Ireland","Europe","Good"
"7074279434","United States","Americas","Good"
"3087249612","United States","Americas","Good"
"3535781177","Netherlands","Europe","Good"
"5262513030","United States","Americas","Good"
"9608807851","United States","Americas","Good"
"7749961638","France","Europe","Good"
"8680998110","France","Europe","Good"
"8951486422","Netherlands","Europe","Good"
"3189718153","United States","Americas","Good"
"3722181581","India","Asia Pacific","Good"
"1214520514","Austria","Europe","Good"
"9711571453","Finland","Europe","Good"
"3118087959","Switzerland","Europe","Good"
"4844723351","France","Europe","Good"
"6314034581","Ghana","Middle East and Africa","Good"
"7411275079","France","Europe","Good"
"6727740726","United States","Americas","Good"
"1432619855","Australia","Asia Pacific","Good"
"9060757387","India","Asia Pacific","Good"
"5006015410","Ireland","Europe","Good"
"8348014126","Ireland","Europe","Good"
"4904434881","United States","Americas","Good"
"9499946375","Austria","Europe","Good"
"8569344928","Ireland","Europe","Good"
"5781788663","Germany","Europe","Good"
"3430992832","United States","Americas","Good"
"7550007453","France","Europe","Good"
"6441505551","Austria","Europe","Good"
"8469862906","Greece","Europe","Good"
"1530449736","Ireland","Europe","Good"
"8636036671","Australia","Asia Pacific","Good"
"3746321534","Netherlands","Europe","Good"
"3301046961","Australia","Asia Pacific","Good"
"9065234334","Austria","Europe","Good"
"9588290881","United Kingdom","Europe","Good"
"7332600363","India","Asia Pacific","Good"
"2400105518","Switzerland","Europe","Good"
"8695888165","Austria","Europe","Good"
"6323997536","Switzerland","Europe","Good"
"2177183102","Norway","Europe","Good"
"8294750385","France","Europe","Good"
"4475053751","Greece","Europe","Good"
"5823588628","United Kingdom","Europe","Good"
"5358771155","France","Europe","Good"
"3563717167","India","Asia Pacific","Good"
"6907606340","Czech Republic","Europe","Good"
"2568582063","United States","Americas","Good"
"2792662959","United States","Americas","Good"
"3821113202","Poland","Europe","Good"
"9444867832","Austria","Europe","Good"
"5255966889","Nigeria","Middle East and Africa","Good"
"7146199959","Ireland","Europe","Good"
"7396696161","Ireland","Europe","Good"
"1579042665","United States","Americas","Good"
"9420684381","Switzerland","Europe","Good"
"7055181957","Spain","Europe","Good"
"1993882702","New Zealand","Asia Pacific","Good"
"8867393789","Greece","Europe","Good"
"8938694879","India","Asia Pacific","Good"
"9803408428","United States","Americas","Good"
"6749036953","India","Asia Pacific","Good"
"9538784404","Italy","Europe","Good"
"6405052583","United States","Americas","Good"
"1675939140","United States","Americas","Good"
"6897583806","Netherlands","Europe","Good"
"4596407932","Switzerland","Europe","Good"
"8846281024","India","Asia Pacific","Good"
"2318709073","Finland","Europe","Good"
"9864292628","United States","Americas","Good"
"5044463808","Ghana","Middle East and Africa","Good"
"8804597383","France","Europe","Good"
"2227964383","United States","Americas","Good"
"3881051702","Singapore","Asia Pacific","Good"
"5460366812","Greece","Europe","Good"
"6264473255","Lithuania","Europe","Good"
"7876761163","Armenia","Europe","Good"
"1483549612","Armenia","Europe","Good"
"8461753526","United States","Americas","Good"
"3281066202","United States","Americas","Good"
"4601841930","Netherlands","Europe","Good"
"3297415471","Ireland","Europe","Good"
"2805625675","Switzerland","Europe","Good"
"4494084085","Switzerland","Europe","Good"
"6077304940","France","Europe","Good"
"8762608283","Spain","Europe","Good"
"2173189408","France","Europe","Good"
"4514400569","United States","Americas","Good"
"3156333032","Turkey","Middle East and Africa","Good"
"9588928283","Ireland","Europe","Good"
"2370660185","Mauritius","Middle East and Africa","Good"
"9335224265","France","Europe","Good"
"6597304981","Australia","Asia Pacific","Good"
"4933910475","Aruba","Americas","Good"
"1633701316","India","Asia Pacific","Good"
"8420194716","France","Europe","Good"
"4260122510","Canada","Americas","Good"
"1183654740","Nigeria","Middle East and Africa","Good"
"1704570220","Germany","Europe","Good"
"5179011457","United States","Americas","Good"
"2732620434","Slovenia","Europe","Good"
"7666701220","Greece","Europe","Good"
"3793094936","France","Europe","Good"
"9436789661","Netherlands","Europe","Good"
"5281639820","Spain","Europe","Good"
"8407153506","Kenya","Middle East and Africa","Good"
"7660807614","France","Europe","Good"
"2290365485","United States","Americas","Good"
"1925985189","New Zealand","Asia Pacific","Good"
"7626778475","Spain","Europe","Good"
"4164802516","France","Europe","Good"
"3915364551","Australia","Asia Pacific","Good"
"2371913240","Switzerland","Europe","Good"
"8409935757","Spain","Europe","Good"
"9347420961","Switzerland","Europe","Good"
"1770593357","Switzerland","Europe","Good"
"6529487853","United States","Americas","Good"
"1977006677","United States","Americas","Good"
"7387412220","Finland","Europe","Good"
"6317956402","United States","Americas","Good"
"6385679908","United States","Americas","Good"
"6753519573","Finland","Europe","Good"
"8358064087","Canada","Americas","Good"
"5164196114","Italy","Europe","Good"
"3800159316","Czech Republic","Europe","Good"
"5410164302","Australia","Asia Pacific","Good"
"7681095728","United States","Americas","Good"
"4690770875","United States","Americas","Good"
"3918596955","India","Asia Pacific","Good"
"1984637534","United States","Americas","Good"
"6272191118","Finland","Europe","Good"
"7134725775","United Kingdom","Europe","Good"
"7544198014","Switzerland","Europe","Good"
"8107835514","Canada","Americas","Good"
"2271101565","Austria","Europe","Good"
"3188557777","India","Asia Pacific","Good"
"2862287320","Poland","Europe","Good"
"4395559114","Australia","Asia Pacific","Good"
"7889981110","Belgium","Europe","Good"
"5355040365","Australia","Asia Pacific","Good"
"6429602020","Philippines","Asia Pacific","Good"
"8745577161","Germany","Europe","Good"
"7676030555","India","Asia Pacific","Good"
"2489212257","Ireland","Europe","Good"
"5187213516","India","Asia Pacific","Good"
"3786456116","Switzerland","Europe","Good"
"5103833940","France","Europe","Good"
"2633871332","Palestinian Territory","Middle East and Africa","Good"
"6364158602","United States","Americas","Good"
"3890600438","France","Europe","Good"
"1734755089","India","Asia Pacific","Good"
"2677500279","India","Asia Pacific","Good"
"4913190175","Germany","Europe","Good"
"2894816581","France","Europe","Good"
"1995361779","Switzerland","Europe","Good"
"7931029240","Czech Republic","Europe","Good"
"1354913536","France","Europe","Good"
"6481818875","Netherlands","Europe","Good"
"7359564179","Portugal","Europe","Good"
"8202132257","Germany","Europe","Good"
"3027005653","Netherlands","Europe","Good"
"5319745877","Ireland","Europe","Good"
"2277173908","Switzerland","Europe","Good"
"2256011967","India","Asia Pacific","Good"
"4152436538","United Kingdom","Europe","Good"
"3107680524","Italy","Europe","Good"
"4949001016","Finland","Europe","Good"
"5984764363","India","Asia Pacific","Good"
"4750072916","Czech Republic","Europe","Good"
"1929999689","Netherlands","Europe","Good"
"3697057155","Austria","Europe","Good"
"9171688057","United States","Americas","Good"
"3693255440","United States","Americas","Good"
"6142340765","Italy","Europe","Good"
"5590966161","Italy","Europe","Good"
"5732186673","Switzerland","Europe","Good"
"5327005075","Finland","Europe","Good"
"1975324275","United States","Americas","Good"
"7653208914","United States","Americas","Good"
"7558843132","Ghana","Middle East and Africa","Good"
"8830586181","United States","Americas","Good"
"6397885116","India","Asia Pacific","Good"
"5705768528","Puerto Rico","Americas","Good"
"1419520957","India","Asia Pacific","Good"
"5663688640","United States","Americas","Good"
"8044044232","India","Asia Pacific","Good"
"5631667220","Austria","Europe","Good"
"6573472383","Nigeria","Middle East and Africa","Good"
"9759700987","Germany","Europe","Good"
"8592427587","United Kingdom","Europe","Good"
"2094241385","Switzerland","Europe","Good"
"2318608830","Ireland","Europe","Good"
"2731336175","France","Europe","Good"
"3098813636","Netherlands","Europe","Good"
"9590077308","Austria","Europe","Good"
"4350646851","France","Europe","Good"
"5988803451","Bulgaria","Europe","Good"
"6029102585","Australia","Asia Pacific","Good"
"7532730451","Japan","Asia Pacific","Good"
"9537252369","Australia","Asia Pacific","Good"
"6494127165","United States","Americas","Good"
"4680462740","Czech Republic","Europe","Good"
"4080759059","South Africa","Middle East and Africa","Good"
"6498466987","Australia","Asia Pacific","Good"
"2481479261","Greece","Europe","Good"
"9286965165","Mauritius","Middle East and Africa","Good"
"8961594071","Finland","Europe","Good"
"6806144969","Ghana","Middle East and Africa","Good"
"1822381808","Finland","Europe","Good"
"6215339385","Australia","Asia Pacific","Good"
"1146109487","United States","Americas","Good"
"5875530285","Poland","Europe","Good"
"3838244567","Austria","Europe","Good"
"6089681326","India","Asia Pacific","Good"
"5504695579","United States","Americas","Good"
"3437419810","Germany","Europe","Good"
"1921137526","Germany","Europe","Good"
"3372407630","Vietnam","Asia Pacific","Good"
"9219053467","Switzerland","Europe","Good"
"3435558671","Peru","Americas","Good"
"1776867134","United States","Americas","Good"
"5704022765","Australia","Asia Pacific","Good"
"8899151357","France","Europe","Good"
"7801986514","India","Asia Pacific","Good"
"6971539477","Lithuania","Europe","Good"
"8075568214","United States","Americas","Good"
"7829226471","Germany","Europe","Good"
"9229563036","Switzerland","Europe","Good"
"2890412455","Netherlands","Europe","Good"
"4039679720","Austria","Europe","Good"
"2665995834","Ireland","Europe","Good"
"3039523889","Philippines","Asia Pacific","Good"
"9681029110","France","Europe","Good"
"2136112275","Sweden","Europe","Good"
"1645942463","Chile","Americas","Good"
"8268699169","Austria","Europe","Good"
"6386918773","France","Europe","Good"
"3294375989","India","Asia Pacific","Good"
"7140040610","France","Europe","Good"
"1056565832","Netherlands","Europe","Good"
"5900512851","United States","Americas","Good"
"3199261216","Australia","Asia Pacific","Good"
"7569975918","Australia","Asia Pacific","Good"
"9217833512","Ireland","Europe","Good"
"1906629538","Switzerland","Europe","Good"
"5844889585","United States","Americas","Good"
"1521819273","France","Europe","Good"
"8324835006","India","Asia Pacific","Good"
